Model,F1 Score,Accuracy,ROC-AUC
Logistic Regression,0.6040462427745664,0.8055358410220014,0.8411558035598958
Random Forest,0.5875370919881305,0.8026969481902059,0.8400475341651812
AdaBoost,0.5852941176470589,0.7998580553584103,0.8461843498927897
SVM,0.5658682634730539,0.794180269694819,0.7983828050324214
XGBoost,0.5967016491754122,0.8090844570617459,0.8450528300911933
